,CID,pW 1 vel,pW 1 vel err,pW 2 vel,pW 2 vel err,pW 3 vel,pW 3 vel err,pW 4 vel,pW 4 vel err,pW 5 vel,pW 5 vel err,pW 6 vel,pW 6 vel err,pW 7 vel,pW 7 vel err,pW 8 vel,pW 8 vel err
0,762,13863.348446691709,160.91720712098257,10487.958601539956,1091.1587940485335,11427.696567894343,375.1913049245198,18106.913123705235,414.30204656518265,9340.810583359256,2310.0428602288625,,,9570.397953362866,403.1151148361438,,
1,1241,13342.751997904514,100.95273466247896,8880.358051486175,215.8534902331644,9366.548067872027,201.3489140722263,16955.8200830375,286.80882095852417,7326.042707561809,432.0748587602118,11879.638123320537,805.1032613896153,10300.760682024615,46.52102948727559,,
2,1253,12616.168713618428,245.78891293342133,9558.47660741137,488.8714975485974,9318.706060213432,262.5639343082024,18821.68478281673,1060.6481364244657,7154.537678767559,537.7658505216092,10673.099902812726,1760.75789572153,10278.590399038587,401.3471501925114,,
3,1371,7700.474076424314,394.7376831576776,,,10747.249917075673,166.106093553257,10981.270328925784,631.2554031432717,6885.1432816579745,3241.3533571523844,,,7778.661893514715,91.23544918269907,,
4,1580,7864.563053010659,672.8682866348759,,,9769.281628370642,1669.367558197865,14107.120528111765,3189.6098028412384,5675.880608820299,3349.164963209077,12645.319510425568,2091.7004601939707,8170.06848324888,1306.9261441762426,,
5,2017,13865.174056074837,323.13891606333755,,,12101.836147319522,474.42566053113404,17475.40533158381,1629.035413614946,6870.539851819722,382.0885769524618,4701.143495664942,4037.683244054439,8917.69768788698,1719.6037747917185,,
6,2031,12665.828735121384,94.04214690164278,8551.88048047068,88.9759724558494,10329.298790549872,660.0957353027849,16793.56435241797,998.0620025797258,9285.139785510384,1249.5112995685301,8176.797619217384,1102.6154441841825,9545.965481020412,145.5814841333233,,
7,2165,11735.782794545226,196.82666107713348,9007.508223241231,483.85994596240965,8047.6357252688185,316.6252676769677,15131.418691304863,359.9855006234904,6154.906438526811,314.91207590317487,8173.439332751485,2607.325241032829,9137.197105541129,241.3460743001196,,
8,2308,11726.883884337054,200.82906096997138,8883.81632083698,1023.8197147647363,9832.98574367608,526.0345928903548,16782.192256151364,864.8514919018561,,,12717.853348225293,455.0892520019098,9882.89890454838,48.426977641711254,,
9,2330,,,7258.216963854885,871.6453555204669,7222.906088353728,472.6202935509299,15359.456628433009,416.74024673435923,5102.457614579051,1246.3153229471452,10040.885769696835,94.68766451405851,9780.052853242929,194.4535456801741,,
10,2372,17722.188697412243,389.332334831876,8986.860174953228,841.1725285751448,11938.888408779056,947.859269123914,16645.84369696366,1148.3750116448539,7892.687673737467,825.8398693103136,,,9258.169180562283,278.99196107549625,,
11,2422,12529.697853194506,295.4744550414464,9944.439426581228,222.43158127012643,11355.812002222945,198.65294303606711,15809.380343394356,533.9975679898988,9213.463659916624,405.7465564104728,13435.64721028882,1866.0675723403967,9636.86372208635,163.8938645911172,,
12,2440,15125.129657849091,413.4503254072149,,,10087.106204698386,591.0959753112418,16413.70952712219,1565.6846551776791,7951.238203907736,728.4906905940926,9682.600629154496,76.71829373627054,9485.28857819398,63.459242498148384,,
13,2635,17747.839908143018,257.5093681383417,10459.10399731598,515.1940978435995,11689.120675391743,548.6455840000551,15704.508607261767,1227.0709183671393,10245.774481932169,494.8030259193551,9288.989535854464,974.6594123486607,11336.670739876236,100.01942436569784,,
14,2689,11820.961436414487,443.8060309931086,,,9782.115892899734,924.2518353140347,12349.36883481401,1512.122808440592,,,,,,,,
15,2789,13211.117646412542,216.5663358278161,8577.919155489795,309.3408567700644,8947.542943688584,366.3457161397217,16075.335724688564,317.3977830373264,6668.984976476657,1053.5333539383464,8797.207865544333,529.8472177805927,9710.095713085546,298.3330938557765,,
16,2916,12459.276661937405,144.63540694552282,9566.102468796127,3557.0276084382454,8734.012506356115,106.59090636761437,17462.40385353886,131.34365260191194,7738.169660553793,232.50590500871527,8791.600709694252,218.46838909081347,10051.258698514464,34.561436699550875,,
17,3080,18882.193351992042,200.5301328767728,10003.431924289542,819.7557089618878,12579.645600802849,482.8233979245173,17290.912221619696,527.6870629226502,,,,,,,,
18,3087,18161.287336064117,207.02171849751068,,,11705.128404915113,273.71534883009707,19760.548499802462,165.4508234896054,9707.67052351084,186.7660417437827,11134.052309224138,3771.1456568622243,,,,
