feat_name,obj_id,time,feat_start,feat_end,vel,vel_err,vel_samperr,pew,pew_err,pew_samperr,area,area_err,area_samperr,spec_flag,feat_flag,notes,phase,spec_type,RA,DEC,Nsearchepoch,IAUName,Classification,Peakrmag,MJDatPeakrmag,NepochSNR5,nSNspec,nGALspec,zspecHelio,zspecerrHelio,zCMB,zerrCMB,x0SALT2zspec,x0errSALT2zspec,x1SALT2zspec,x1errSALT2zspec,cSALT2zspec,cerrSALT2zspec,PeakMJDSALT2zspec,PeakMJDderrSALT2zspec,muSALT2zspec,muerrSALT2zspec,fitprobSALT2zspec,chi2SALT2zspec,ndofSALT2zspec,deltaMLCS2k2zspec,deltaerrMLCS2k2zspec,avMLCS2k2zspec,averrMLCS2k2zspec,PeakMJDMLCS2k2zspec,PeakMJDerrMLCS2k2zspec,muMLCS2k2zspec,muerrMLCS2k2zspec,fitprobMLCS2k2zspec,chi2MLCS2k2zspec,ndofMLCS2k2zspec,PIaPSNIDzspec,logprobIaPSNIDzspec,lcqualityIaPSNIDzspec,PIbcPSNIDzspec,logprobIbcPSNIDzspec,lcqualityIbcPSNIDzspec,PIIPSNIDzspec,logprobIIPSNIDzspec,lcqualityIIPSNIDzspec,NnnPSNIDzspec,PnnIaPSNIDzspec,PnnIbcPSNIDzspec,PnnIIPSNIDzspec,zPSNIDzspec,zerrPSNIDzspec,dm15PSNIDzspec,dm15errPSNIDzspec,avPSNIDzspec,averrPSNIDzspec,PeakMJDPSNIDzspec,PeakMJDerrPSNIDzspec,SNIbctypePSNIDzspec,SNIItypePSNIDzspec,x0SALT2flat,x0errSALT2flat,x1SALT2flat,x1errSALT2flat,cSALT2flat,cerrSALT2flat,PeakMJDSALT2flat,PeakMJDerrSALT2flat,zphotSALT2flat,zphoterrSALT2flat,fitprobSALT2flat,chi2SALT2flat,ndofSALT2flat,PIaPSNIDflat,logprobIaPSNIDflat,lcqualityIaPSNIDflat,PIbcPSNIDflat,logprobIbcPSNIDflat,lcqualityIbcPSNIDflat,PIIPSNIDflat,logprobIIPSNIDflat,lcqualityIIPSNIDflat,NnnPSNIDflat,PnnIaPSNIDflat,PnnIbcPSNIDflat,PnnIIPSNIDflat,zPSNIDflat,zerrPSNIDflat,dm15PSNIDflat,dm15errPSNIDflat,avPSNIDflat,averrPSNIDflat,PeakMJDPSNIDflat,PeakMJDerrPSNIDflat,SNIbctypePSNIDflat,SNIItypePSNIDflat,objIDHost,RAhost,DEChost,separationhost,DLRhost,zphothost,zphoterrhost,zphotRFhost,zphotRFerrhost,dereduhost,erruhost,deredghost,errghost,deredrhost,errrhost,deredihost,errihost,deredzhost,errzhost,logMassFSPS,logMassloFSPS,logMasshiFSPS,logSSFRFSPS,logSSFRloFSPS,logSSFRhiFSPS,ageFSPS,ageloFSPS,agehiFSPS,minredchi2FSPS,logMassPEGASE,logMassloPEGASE,logMasshiPEGASE,logSFRPEGASE,logSFRloPEGASE,logSFRhiPEGASE,agePEGASE,ageloPEGASE,agehiPEGASE,minchi2PEGASE,Notes,delta_t,is_peak,branch_type,arcmin,kpc
pW6,19128,2454387.5,5630.787446720288,5932.631261217039,8144.168667504894,0.0,341.65939694741405,16.35291982337798,0.0,2.1037974210900368,0.15166254104758473,0.0,0.02079238493332491,0,0,,-0.10000000009313226,unknown,354.203771,-0.78223,9,2007lw,SNIa,21.3,54387.3,7,1,1,0.287,0.005,0.285433,0.005,5.33e-05,2.49e-06,1.22,0.57,-0.06,0.04,54387.1,0.21,41.09,0.23,0.991,21.96,40.0,-0.25,0.13,0.13,0.12,54385.9,0.87,41.13,0.16,0.994,21.13,40.0,1.0,-0.0004,62.0,0.0,-0.439,2.0,0.0,-0.857,62.0,315.0,0.971,0.0,0.029,0.2865,0.0045,0.87,0.08,0.01,0.14,54385.52,0.91,306.0,301.0,5.31e-05,2.52e-06,1.16,0.57,-0.05,0.04,54386.9,0.72,0.2808,0.0056,0.991,29.52,50.0,1.0,-0.0,62.0,0.0,-0.117,2.0,0.0,-0.447,62.0,366.0,0.986,0.003,0.011,0.2905,0.0279,0.88,0.09,-0.04,0.23,54385.47,0.95,306.0,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000009313226,True,BL,,
pW2,2017,2453636.5,3908.0252377409306,4040.182181008077,,0.0,,17.09211830425717,0.0,1.4389185101443058,2.682215244828059e-16,0.0,2.53316752713793e-17,0,0,,0.10000000009313226,unknown,328.943336,0.593518,5,2005fo,SNIa,21.2,53636.2,4,1,1,0.263088,2.5e-05,0.261621,2.5e-05,6.91e-05,4.28e-06,1.46,0.56,-0.11,0.04,53635.9,0.53,40.98,0.25,0.997,34.41,59.0,-0.39,0.1,0.08,0.13,53634.6,0.54,41.05,0.18,0.999,35.13,66.0,1.0,0.0,43.0,0.0,-0.0255,2.0,0.0,-0.979,59.0,-1.0,-1.0,-1.0,-1.0,0.2625,0.0,0.86,0.07,-0.09,0.16,53635.06,0.57,306.0,301.0,7.18e-05,4.55e-06,1.03,0.51,-0.05,0.04,53635.1,0.53,0.2157,0.0076,0.999,41.47,73.0,1.0,0.0,43.0,0.0,-0.0182,2.0,0.0,-0.195,59.0,-1.0,-1.0,-1.0,-1.0,0.211,0.0615,0.9,0.08,0.15,0.35,53634.26,1.02,306.0,301.0,1.2376634797937142e+18,328.943909,0.593471,2.07,2.13,0.244,0.0325,0.2179,0.0867,21.642,0.227,20.611,0.042,19.669,0.026,19.275,0.028,18.971,0.07,10.55,10.46,10.62,-10.27,-10.56,-10.03,4.47,2.59,6.29,0.09,10.26,10.2,10.3,0.18,0.15,0.21,1.25,1.08,1.39,0.14,,0.10000000009313226,True,SS,0.034499999999999996,43.07735082939291
pW1,2017,2453636.5,3615.136876986734,3908.0252377409306,13865.174056074837,0.0,323.13891606333755,52.65813875769341,0.0,5.550195790779057,8.08248427772425e-16,0.0,1.0909204174427906e-16,0,0,,0.10000000009313226,unknown,328.943336,0.593518,5,2005fo,SNIa,21.2,53636.2,4,1,1,0.263088,2.5e-05,0.261621,2.5e-05,6.91e-05,4.28e-06,1.46,0.56,-0.11,0.04,53635.9,0.53,40.98,0.25,0.997,34.41,59.0,-0.39,0.1,0.08,0.13,53634.6,0.54,41.05,0.18,0.999,35.13,66.0,1.0,0.0,43.0,0.0,-0.0255,2.0,0.0,-0.979,59.0,-1.0,-1.0,-1.0,-1.0,0.2625,0.0,0.86,0.07,-0.09,0.16,53635.06,0.57,306.0,301.0,7.18e-05,4.55e-06,1.03,0.51,-0.05,0.04,53635.1,0.53,0.2157,0.0076,0.999,41.47,73.0,1.0,0.0,43.0,0.0,-0.0182,2.0,0.0,-0.195,59.0,-1.0,-1.0,-1.0,-1.0,0.211,0.0615,0.9,0.08,0.15,0.35,53634.26,1.02,306.0,301.0,1.2376634797937142e+18,328.943909,0.593471,2.07,2.13,0.244,0.0325,0.2179,0.0867,21.642,0.227,20.611,0.042,19.669,0.026,19.275,0.028,18.971,0.07,10.55,10.46,10.62,-10.27,-10.56,-10.03,4.47,2.59,6.29,0.09,10.26,10.2,10.3,0.18,0.15,0.21,1.25,1.08,1.39,0.14,,0.10000000009313226,True,SS,0.034499999999999996,43.07735082939291
pW2,19128,2454387.5,3942.640339869911,4073.3355997551007,8793.661153802577,0.0,735.823388449675,8.520702044498409,0.0,0.5479927474310131,0.2371074733881631,0.0,0.01626042904976657,0,0,,-0.10000000009313226,unknown,354.203771,-0.78223,9,2007lw,SNIa,21.3,54387.3,7,1,1,0.287,0.005,0.285433,0.005,5.33e-05,2.49e-06,1.22,0.57,-0.06,0.04,54387.1,0.21,41.09,0.23,0.991,21.96,40.0,-0.25,0.13,0.13,0.12,54385.9,0.87,41.13,0.16,0.994,21.13,40.0,1.0,-0.0004,62.0,0.0,-0.439,2.0,0.0,-0.857,62.0,315.0,0.971,0.0,0.029,0.2865,0.0045,0.87,0.08,0.01,0.14,54385.52,0.91,306.0,301.0,5.31e-05,2.52e-06,1.16,0.57,-0.05,0.04,54386.9,0.72,0.2808,0.0056,0.991,29.52,50.0,1.0,-0.0,62.0,0.0,-0.117,2.0,0.0,-0.447,62.0,366.0,0.986,0.003,0.011,0.2905,0.0279,0.88,0.09,-0.04,0.23,54385.47,0.95,306.0,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000000009313226,True,BL,,
pW1,2689,2453637.5,3657.0354065152037,3918.106397364937,11820.961436414487,0.0,443.8060309931086,103.3319800315753,0.0,9.616016599118561,2.222653611065051e-15,0.0,3.4707438192477726e-16,0,0,,0.10000000009313226,unknown,24.900312,-0.758714,12,2005fa,SNIa,20.1,53634.3,14,1,0,0.161489,4.6e-05,0.160352,4.6e-05,0.000184,7.08e-06,1.35,0.22,0.07,0.03,53636.9,0.2,39.38,0.19,0.03,71.56,51.0,-0.46,0.06,0.48,0.07,53634.9,0.32,39.48,0.1,0.282,64.77,59.0,1.0,-0.107,59.0,0.0,-14.6,2.0,0.0,-63.9,59.0,170.0,0.953,0.0,0.047,0.1604,0.0,0.85,0.04,0.61,0.09,53636.67,0.33,306.0,301.0,0.000185,7.3e-06,1.35,0.24,-0.0,0.03,53637.5,0.28,0.2024,0.0029,0.115,76.69,63.0,1.0,-0.05,59.0,0.0,-10.8,2.0,0.0,-21.9,59.0,256.0,0.926,0.0,0.074,0.1914,0.019,0.84,0.04,0.37,0.15,53636.97,0.39,306.0,301.0,1.2376637831345605e+18,24.900028,-0.757933,2.99,2.04,0.1658,0.0124,0.1639,0.0255,20.295,0.092,18.403,0.01,17.245,0.006,16.764,0.006,16.39,0.011,11.35,11.25,11.44,-14.47,-41.09,-11.88,7.84,5.27,9.8,0.12,11.18,11.12,11.32,,-99.0,-99.0,5.58,4.75,9.7,6.98,,0.10000000009313226,True,,0.049833333333333334,62.01235205138495
pW7,2916,2453644.5,5950.56864256214,6347.325726106168,10051.258698514464,0.0,34.561436699550875,78.02578942167158,0.0,1.4507305348439794,3.5485607919813008e-15,0.0,8.174134654180193e-17,0,0,,0.10000000009313226,unknown,315.921719,0.569566,9,2005fz,SNIa,19.9,53645.2,12,3,2,0.1242,0.0005,0.12303,0.0005,0.00024,1.54e-05,-0.78,0.25,0.05,0.04,53643.9,0.18,38.77,0.19,0.05,61.66,45.0,0.03,0.12,0.42,0.11,53643.1,0.35,38.94,0.11,0.108,69.38,56.0,1.0,-0.642,63.0,0.0,-23.5,2.0,0.0,-61.3,63.0,234.0,0.996,0.004,0.0,0.1234,0.0,1.11,0.04,0.58,0.11,53642.88,0.23,306.0,301.0,0.000245,1.53e-05,-1.03,0.24,0.01,0.04,53644.1,0.18,0.1401,0.0063,0.139,68.61,57.0,1.0,-0.6,63.0,0.0,-16.4,2.0,0.0,-21.7,62.0,385.0,1.0,0.0,0.0,0.1258,0.0192,1.11,0.04,0.57,0.14,53642.92,0.27,303.0,301.0,1.2376786173985428e+18,315.922272,0.569533,1.99,3.38,,,,,19.024,0.026,18.008,0.007,17.643,0.006,17.558,0.007,17.55,0.015,10.04,10.04,10.05,-10.07,-10.07,-10.07,2.82,2.82,2.88,7.75,9.85,9.79,9.91,1.07,0.89,1.19,0.21,0.15,0.29,113.4,,0.10000000009313226,True,CN,0.033166666666666664,41.42466606698373
pW6,2916,2453644.5,5646.531964411556,5944.099777069571,8791.600709694252,0.0,218.46838909081347,16.940968193618378,0.0,2.0585750283893005,8.401049053807187e-16,0.0,1.091920597458866e-16,0,0,,0.10000000009313226,unknown,315.921719,0.569566,9,2005fz,SNIa,19.9,53645.2,12,3,2,0.1242,0.0005,0.12303,0.0005,0.00024,1.54e-05,-0.78,0.25,0.05,0.04,53643.9,0.18,38.77,0.19,0.05,61.66,45.0,0.03,0.12,0.42,0.11,53643.1,0.35,38.94,0.11,0.108,69.38,56.0,1.0,-0.642,63.0,0.0,-23.5,2.0,0.0,-61.3,63.0,234.0,0.996,0.004,0.0,0.1234,0.0,1.11,0.04,0.58,0.11,53642.88,0.23,306.0,301.0,0.000245,1.53e-05,-1.03,0.24,0.01,0.04,53644.1,0.18,0.1401,0.0063,0.139,68.61,57.0,1.0,-0.6,63.0,0.0,-16.4,2.0,0.0,-21.7,62.0,385.0,1.0,0.0,0.0,0.1258,0.0192,1.11,0.04,0.57,0.14,53642.92,0.27,303.0,301.0,1.2376786173985428e+18,315.922272,0.569533,1.99,3.38,,,,,19.024,0.026,18.008,0.007,17.643,0.006,17.558,0.007,17.55,0.015,10.04,10.04,10.05,-10.07,-10.07,-10.07,2.82,2.82,2.88,7.75,9.85,9.79,9.91,1.07,0.89,1.19,0.21,0.15,0.29,113.4,,0.10000000009313226,True,CN,0.033166666666666664,41.42466606698373
pW5,2916,2453644.5,5180.7736489468325,5599.093617466069,7738.169660553793,0.0,232.50590500871527,57.61224875905994,0.0,3.967005151169913,3.2982814077999685e-15,0.0,2.577598623161861e-16,0,0,,0.10000000009313226,unknown,315.921719,0.569566,9,2005fz,SNIa,19.9,53645.2,12,3,2,0.1242,0.0005,0.12303,0.0005,0.00024,1.54e-05,-0.78,0.25,0.05,0.04,53643.9,0.18,38.77,0.19,0.05,61.66,45.0,0.03,0.12,0.42,0.11,53643.1,0.35,38.94,0.11,0.108,69.38,56.0,1.0,-0.642,63.0,0.0,-23.5,2.0,0.0,-61.3,63.0,234.0,0.996,0.004,0.0,0.1234,0.0,1.11,0.04,0.58,0.11,53642.88,0.23,306.0,301.0,0.000245,1.53e-05,-1.03,0.24,0.01,0.04,53644.1,0.18,0.1401,0.0063,0.139,68.61,57.0,1.0,-0.6,63.0,0.0,-16.4,2.0,0.0,-21.7,62.0,385.0,1.0,0.0,0.0,0.1258,0.0192,1.11,0.04,0.57,0.14,53642.92,0.27,303.0,301.0,1.2376786173985428e+18,315.922272,0.569533,1.99,3.38,,,,,19.024,0.026,18.008,0.007,17.643,0.006,17.558,0.007,17.55,0.015,10.04,10.04,10.05,-10.07,-10.07,-10.07,2.82,2.82,2.88,7.75,9.85,9.79,9.91,1.07,0.89,1.19,0.21,0.15,0.29,113.4,,0.10000000009313226,True,CN,0.033166666666666664,41.42466606698373
pW4,2916,2453644.5,4542.512253680347,5189.398802936912,17462.40385353886,0.0,131.34365260191194,110.50143971569423,0.0,2.5382816574481017,7.780019325274793e-15,0.0,2.0958691848868239e-16,0,0,,0.10000000009313226,unknown,315.921719,0.569566,9,2005fz,SNIa,19.9,53645.2,12,3,2,0.1242,0.0005,0.12303,0.0005,0.00024,1.54e-05,-0.78,0.25,0.05,0.04,53643.9,0.18,38.77,0.19,0.05,61.66,45.0,0.03,0.12,0.42,0.11,53643.1,0.35,38.94,0.11,0.108,69.38,56.0,1.0,-0.642,63.0,0.0,-23.5,2.0,0.0,-61.3,63.0,234.0,0.996,0.004,0.0,0.1234,0.0,1.11,0.04,0.58,0.11,53642.88,0.23,306.0,301.0,0.000245,1.53e-05,-1.03,0.24,0.01,0.04,53644.1,0.18,0.1401,0.0063,0.139,68.61,57.0,1.0,-0.6,63.0,0.0,-16.4,2.0,0.0,-21.7,62.0,385.0,1.0,0.0,0.0,0.1258,0.0192,1.11,0.04,0.57,0.14,53642.92,0.27,303.0,301.0,1.2376786173985428e+18,315.922272,0.569533,1.99,3.38,,,,,19.024,0.026,18.008,0.007,17.643,0.006,17.558,0.007,17.55,0.015,10.04,10.04,10.05,-10.07,-10.07,-10.07,2.82,2.82,2.88,7.75,9.85,9.79,9.91,1.07,0.89,1.19,0.21,0.15,0.29,113.4,,0.10000000009313226,True,CN,0.033166666666666664,41.42466606698373
pW3,2916,2453644.5,4104.78568868341,4536.043388187786,8734.012506356115,0.0,106.59090636761437,64.06723969881708,0.0,2.501042545095546,5.261896890874342e-15,0.0,2.4229656161942646e-16,0,0,,0.10000000009313226,unknown,315.921719,0.569566,9,2005fz,SNIa,19.9,53645.2,12,3,2,0.1242,0.0005,0.12303,0.0005,0.00024,1.54e-05,-0.78,0.25,0.05,0.04,53643.9,0.18,38.77,0.19,0.05,61.66,45.0,0.03,0.12,0.42,0.11,53643.1,0.35,38.94,0.11,0.108,69.38,56.0,1.0,-0.642,63.0,0.0,-23.5,2.0,0.0,-61.3,63.0,234.0,0.996,0.004,0.0,0.1234,0.0,1.11,0.04,0.58,0.11,53642.88,0.23,306.0,301.0,0.000245,1.53e-05,-1.03,0.24,0.01,0.04,53644.1,0.18,0.1401,0.0063,0.139,68.61,57.0,1.0,-0.6,63.0,0.0,-16.4,2.0,0.0,-21.7,62.0,385.0,1.0,0.0,0.0,0.1258,0.0192,1.11,0.04,0.57,0.14,53642.92,0.27,303.0,301.0,1.2376786173985428e+18,315.922272,0.569533,1.99,3.38,,,,,19.024,0.026,18.008,0.007,17.643,0.006,17.558,0.007,17.55,0.015,10.04,10.04,10.05,-10.07,-10.07,-10.07,2.82,2.82,2.88,7.75,9.85,9.79,9.91,1.07,0.89,1.19,0.21,0.15,0.29,113.4,,0.10000000009313226,True,CN,0.033166666666666664,41.42466606698373
